Pieces,Price,Pages,Unique_Pieces,gender
95.0,7.99,40.0,52.0,girl
69.0,9.99,28.0,36.0,girl
85.0,7.99,36.0,41.0,girl
93.0,7.99,40.0,48.0,girl
92.0,9.99,36.0,52.0,neutral
101.0,9.99,56.0,65.0,girl
49.0,9.99,3.0,31.0,boy
47.0,9.99,3.0,28.0,boy
8.0,9.99,10.0,7.0,neutral
18.0,9.99,12.0,15.0,neutral
50.0,9.99,28.0,35.0,girl
64.0,9.99,28.0,45.0,neutral
55.0,9.99,32.0,34.0,neutral
54.0,9.99,36.0,45.0,neutral
88.0,9.99,36.0,50.0,neutral
62.0,9.99,36.0,34.0,neutral
52.0,9.99,36.0,32.0,boy
97.0,9.99,40.0,60.0,girl
57.0,9.99,40.0,41.0,girl
67.0,9.99,40.0,48.0,neutral
86.0,9.99,40.0,44.0,boy
89.0,9.99,48.0,55.0,neutral
74.0,9.99,52.0,55.0,neutral
84.0,9.99,56.0,52.0,neutral
84.0,9.99,56.0,49.0,neutral
127.0,9.99,60.0,61.0,boy
126.0,9.99,60.0,83.0,girl
41.0,9.99,37.0,30.0,neutral
92.0,9.99,48.0,61.0,girl
62.0,9.99,28.0,35.0,girl
48.0,9.99,3.0,28.0,boy
46.0,9.99,36.0,39.0,girl
74.0,9.99,40.0,48.0,neutral
72.0,9.99,40.0,40.0,boy
152.0,9.99,56.0,62.0,boy
148.0,9.99,64.0,61.0,boy
152.0,9.99,68.0,62.0,boy
54.0,9.99,44.0,41.0,boy
89.0,9.99,7.0,49.0,boy
70.0,9.99,28.0,47.0,neutral
76.0,9.99,36.0,50.0,neutral
85.0,7.99,32.0,38.0,girl
198.0,14.99,60.0,81.0,boy
219.0,14.99,64.0,92.0,boy
180.0,14.99,80.0,75.0,boy
105.0,14.99,40.0,51.0,boy
102.0,14.99,44.0,59.0,boy
17.0,14.99,2.0,16.0,neutral
159.0,19.99,80.0,79.0,boy
50.0,6.99,28.0,30.0,neutral
72.0,9.99,44.0,37.0,boy
86.0,7.99,36.0,45.0,girl
16.0,14.99,2.0,16.0,neutral
85.0,7.99,32.0,36.0,girl
83.0,7.99,36.0,46.0,girl
92.0,14.99,48.0,54.0,boy
154.0,14.99,48.0,71.0,boy
115.0,19.99,48.0,82.0,neutral
198.0,14.99,56.0,72.0,boy
70.0,9.99,44.0,34.0,boy
37.0,9.99,5.0,31.0,girl
122.0,9.99,40.0,65.0,boy
196.0,19.99,80.0,104.0,neutral
214.0,19.99,80.0,119.0,girl
124.0,19.99,3.0,72.0,neutral
21.0,19.99,8.0,19.0,girl
98.0,19.99,44.0,56.0,girl
121.0,19.99,48.0,55.0,neutral
93.0,19.99,48.0,62.0,boy
167.0,19.99,52.0,75.0,boy
212.0,19.99,56.0,97.0,boy
184.0,19.99,56.0,102.0,neutral
118.0,19.99,64.0,66.0,girl
189.0,19.99,68.0,103.0,boy
198.0,19.99,72.0,90.0,neutral
222.0,19.99,72.0,91.0,neutral
126.0,19.99,84.0,81.0,neutral
226.0,19.99,104.0,97.0,boy
197.0,19.99,60.0,81.0,neutral
108.0,19.99,64.0,61.0,girl
148.0,19.99,64.0,81.0,neutral
174.0,14.99,84.0,100.0,neutral
90.0,19.99,40.0,52.0,neutral
133.0,19.99,3.0,71.0,girl
105.0,19.99,3.0,61.0,girl
111.0,19.99,3.0,71.0,girl
88.0,9.99,36.0,61.0,neutral
49.0,9.99,24.0,35.0,girl
103.0,19.99,68.0,70.0,girl
173.0,19.99,72.0,85.0,girl
241.0,19.99,84.0,88.0,neutral
49.0,9.99,5.0,42.0,girl
84.0,7.99,32.0,38.0,girl
78.0,9.99,40.0,47.0,neutral
170.0,19.99,56.0,98.0,boy
260.0,19.99,80.0,81.0,neutral
208.0,19.99,80.0,84.0,boy
236.0,29.99,132.0,109.0,neutral
99.0,14.99,36.0,43.0,boy
204.0,19.99,48.0,76.0,neutral
50.0,9.99,32.0,44.0,neutral
136.0,19.99,60.0,79.0,neutral
200.0,19.99,100.0,112.0,neutral
85.0,7.99,32.0,38.0,girl
104.0,14.99,36.0,62.0,girl
17.0,19.99,12.0,13.0,neutral
40.0,9.99,5.0,34.0,girl
40.0,9.99,5.0,32.0,girl
36.0,9.99,5.0,31.0,girl
240.0,19.99,68.0,116.0,girl
24.0,19.99,8.0,22.0,neutral
21.0,19.99,10.0,16.0,neutral
21.0,19.99,12.0,18.0,girl
109.0,9.99,32.0,21.0,boy
103.0,19.99,52.0,75.0,girl
81.0,19.99,60.0,48.0,boy
168.0,19.99,76.0,86.0,neutral
235.0,19.99,84.0,138.0,girl
198.0,19.99,84.0,100.0,boy
217.0,19.99,116.0,94.0,boy
62.0,9.99,36.0,42.0,boy
63.0,9.99,40.0,37.0,boy
44.0,9.99,5.0,37.0,girl
83.0,7.99,32.0,38.0,girl
47.0,9.99,5.0,40.0,girl
75.0,9.99,36.0,45.0,neutral
49.0,9.99,5.0,32.0,girl
44.0,9.99,24.0,28.0,girl
134.0,14.99,44.0,77.0,girl
298.0,19.99,80.0,101.0,boy
73.0,9.99,32.0,40.0,boy
92.0,14.99,48.0,54.0,boy
86.0,9.99,7.0,45.0,boy
69.0,9.99,32.0,38.0,boy
40.0,9.99,5.0,33.0,girl
144.0,19.99,48.0,92.0,girl
68.0,9.99,32.0,53.0,neutral
81.0,14.99,36.0,50.0,boy
81.0,9.99,40.0,52.0,girl
91.0,19.99,56.0,64.0,boy
193.0,19.99,60.0,90.0,neutral
164.0,19.99,64.0,100.0,boy
224.0,19.99,72.0,117.0,girl
234.0,19.99,72.0,80.0,boy
275.0,19.99,72.0,92.0,boy
250.0,19.99,76.0,102.0,boy
117.0,19.99,48.0,73.0,neutral
120.0,19.99,48.0,62.0,girl
92.0,14.99,48.0,54.0,boy
224.0,19.99,64.0,120.0,boy
168.0,19.99,64.0,98.0,boy
203.0,19.99,68.0,111.0,girl
227.0,19.99,84.0,78.0,boy
92.0,14.99,48.0,53.0,boy
59.0,9.99,36.0,44.0,boy
295.0,19.99,53.0,149.0,neutral
127.0,19.99,60.0,85.0,neutral
139.0,24.99,48.0,85.0,girl
129.0,14.99,48.0,74.0,boy
164.0,19.99,76.0,67.0,boy
124.0,14.99,52.0,63.0,boy
36.0,24.99,1.0,35.0,neutral
26.0,24.99,16.0,10.0,neutral
82.0,9.99,32.0,64.0,neutral
125.0,19.99,48.0,78.0,girl
192.0,29.99,100.0,112.0,neutral
92.0,14.99,48.0,53.0,boy
29.0,24.99,20.0,24.0,neutral
294.0,29.99,76.0,117.0,boy
52.0,9.99,36.0,38.0,boy
174.0,19.99,64.0,104.0,boy
235.0,29.99,68.0,101.0,boy
84.0,9.99,36.0,48.0,neutral
12.0,9.99,10.0,11.0,neutral
87.0,9.99,56.0,53.0,neutral
92.0,9.99,40.0,45.0,boy
97.0,19.99,48.0,63.0,neutral
335.0,29.99,112.0,160.0,boy
93.0,29.99,44.0,61.0,neutral
265.0,29.99,52.0,101.0,neutral
116.0,29.99,72.0,78.0,girl
190.0,29.99,84.0,101.0,neutral
348.0,29.99,92.0,119.0,neutral
159.0,29.99,100.0,110.0,girl
168.0,29.99,100.0,96.0,girl
310.0,29.99,108.0,150.0,boy
322.0,29.99,148.0,142.0,boy
389.0,29.99,76.0,165.0,girl
201.0,29.99,84.0,98.0,neutral
202.0,29.99,96.0,98.0,neutral
361.0,29.99,100.0,163.0,boy
372.0,29.99,108.0,127.0,neutral
478.0,29.99,124.0,159.0,boy
197.0,19.99,60.0,84.0,boy
269.0,29.99,84.0,112.0,boy
115.0,19.99,56.0,70.0,girl
250.0,29.99,68.0,121.0,girl
91.0,9.99,40.0,47.0,boy
69.0,9.99,32.0,43.0,boy
84.0,19.99,56.0,60.0,neutral
303.0,29.99,68.0,94.0,neutral
163.0,29.99,128.0,97.0,boy
192.0,19.99,76.0,76.0,neutral
65.0,29.99,20.0,46.0,neutral
185.0,29.99,108.0,98.0,neutral
30.0,29.99,16.0,23.0,neutral
218.0,29.99,64.0,133.0,boy
241.0,29.99,72.0,110.0,girl
286.0,29.99,80.0,118.0,boy
335.0,29.99,100.0,185.0,girl
238.0,29.99,124.0,123.0,neutral
126.0,19.99,56.0,71.0,neutral
247.0,19.99,84.0,123.0,girl
362.0,34.99,64.0,122.0,boy
428.0,39.99,156.0,198.0,boy
247.0,19.99,84.0,111.0,boy
171.0,19.99,60.0,74.0,boy
97.0,14.99,36.0,53.0,boy
200.0,29.99,68.0,118.0,boy
199.0,19.99,60.0,90.0,girl
178.0,34.99,72.0,106.0,girl
79.0,9.99,7.0,47.0,boy
191.0,19.99,68.0,83.0,boy
95.0,9.99,44.0,72.0,girl
333.0,29.99,200.0,134.0,neutral
193.0,29.99,64.0,108.0,boy
216.0,19.99,92.0,94.0,boy
279.0,29.99,84.0,110.0,boy
97.0,9.99,32.0,23.0,boy
117.0,9.99,32.0,26.0,boy
168.0,19.99,60.0,88.0,boy
236.0,29.99,72.0,104.0,boy
68.0,9.99,32.0,39.0,boy
227.0,19.99,56.0,49.0,boy
157.0,14.99,56.0,82.0,neutral
248.0,29.99,68.0,100.0,boy
188.0,19.99,72.0,88.0,boy
101.0,29.99,76.0,72.0,boy
253.0,29.99,84.0,121.0,neutral
371.0,29.99,84.0,136.0,boy
295.0,29.99,92.0,149.0,boy
348.0,29.99,108.0,146.0,boy
343.0,29.99,112.0,152.0,girl
265.0,29.99,120.0,149.0,girl
565.0,29.99,128.0,186.0,boy
46.0,34.99,20.0,33.0,neutral
38.0,29.99,22.0,25.0,neutral
61.0,9.99,32.0,33.0,boy
108.0,14.99,36.0,48.0,boy
132.0,29.99,64.0,65.0,boy
244.0,29.99,80.0,115.0,boy
97.0,9.99,32.0,23.0,boy
92.0,14.99,40.0,55.0,neutral
53.0,29.99,25.0,37.0,neutral
203.0,14.99,60.0,88.0,boy
37.0,6.99,20.0,28.0,neutral
225.0,19.99,72.0,125.0,girl
218.0,39.99,120.0,139.0,neutral
234.0,29.99,3.0,161.0,neutral
126.0,19.99,44.0,68.0,boy
363.0,39.99,116.0,192.0,girl
235.0,19.99,92.0,98.0,boy
183.0,39.99,64.0,138.0,neutral
300.0,39.99,96.0,89.0,girl
419.0,39.99,108.0,143.0,boy
273.0,39.99,160.0,135.0,neutral
403.0,39.99,84.0,128.0,neutral
463.0,39.99,88.0,175.0,boy
155.0,19.99,60.0,82.0,boy
230.0,49.99,52.0,106.0,girl
387.0,39.99,120.0,175.0,girl
166.0,19.99,48.0,97.0,girl
73.0,9.99,32.0,50.0,neutral
140.0,29.99,68.0,90.0,girl
257.0,19.99,84.0,111.0,boy
95.0,19.99,64.0,77.0,neutral
87.0,14.99,44.0,66.0,neutral
125.0,19.99,64.0,82.0,boy
313.0,29.99,4.0,194.0,neutral
200.0,24.99,92.0,80.0,neutral
327.0,39.99,164.0,153.0,neutral
183.0,14.99,60.0,74.0,boy
109.0,14.99,40.0,52.0,boy
371.0,39.99,84.0,130.0,boy
490.0,39.99,140.0,195.0,boy
174.0,19.99,64.0,77.0,neutral
216.0,29.99,76.0,119.0,girl
85.0,9.99,44.0,60.0,girl
115.0,19.99,64.0,85.0,neutral
200.0,19.99,120.0,86.0,neutral
359.0,29.99,132.0,163.0,girl
212.0,39.99,128.0,127.0,neutral
337.0,39.99,100.0,168.0,girl
361.0,39.99,104.0,157.0,girl
489.0,39.99,108.0,172.0,boy
174.0,19.99,64.0,82.0,boy
342.0,29.99,80.0,114.0,boy
330.0,29.99,2.0,158.0,girl
228.0,29.99,76.0,149.0,girl
198.0,19.99,68.0,68.0,neutral
86.0,9.99,48.0,63.0,girl
345.0,29.99,96.0,126.0,boy
26.0,19.99,9.0,18.0,neutral
118.0,14.99,40.0,52.0,boy
150.0,29.99,96.0,98.0,boy
269.0,29.99,76.0,103.0,boy
200.0,19.99,68.0,97.0,boy
225.0,19.99,148.0,103.0,neutral
102.0,14.99,32.0,54.0,boy
179.0,14.99,56.0,78.0,boy
198.0,19.99,64.0,92.0,boy
190.0,19.99,84.0,108.0,neutral
482.0,49.99,96.0,243.0,neutral
413.0,39.99,108.0,217.0,girl
419.0,29.99,124.0,168.0,boy
208.0,19.99,52.0,44.0,boy
430.0,49.99,84.0,160.0,neutral
307.0,39.99,4.0,186.0,boy
229.0,19.99,88.0,100.0,boy
456.0,39.99,80.0,143.0,boy
380.0,49.99,92.0,168.0,boy
302.0,39.99,116.0,145.0,girl
477.0,39.99,116.0,164.0,boy
286.0,39.99,141.0,131.0,neutral
554.0,39.99,268.0,194.0,neutral
510.0,39.99,276.0,206.0,neutral
396.0,39.99,200.0,157.0,neutral
62.0,14.99,36.0,44.0,boy
156.0,19.99,56.0,93.0,girl
131.0,19.99,64.0,78.0,neutral
241.0,29.99,76.0,114.0,girl
504.0,39.99,88.0,133.0,neutral
604.0,49.99,104.0,203.0,boy
373.0,39.99,116.0,177.0,boy
302.0,49.99,120.0,174.0,girl
380.0,49.99,120.0,205.0,girl
466.0,49.99,124.0,212.0,boy
578.0,49.99,128.0,293.0,boy
400.0,39.99,132.0,164.0,boy
481.0,49.99,64.0,187.0,boy
199.0,19.99,76.0,110.0,boy
396.0,49.99,84.0,161.0,boy
468.0,49.99,112.0,221.0,girl
234.0,49.99,116.0,62.0,neutral
540.0,49.99,120.0,211.0,boy
450.0,49.99,128.0,185.0,boy
489.0,49.99,132.0,212.0,boy
595.0,49.99,236.0,223.0,neutral
119.0,14.99,48.0,78.0,girl
210.0,19.99,60.0,107.0,girl
171.0,39.99,72.0,119.0,boy
375.0,29.99,84.0,143.0,boy
125.0,19.99,60.0,57.0,boy
85.0,24.99,56.0,56.0,neutral
59.0,49.99,28.0,31.0,girl
221.0,19.99,68.0,111.0,boy
499.0,49.99,248.0,183.0,neutral
354.0,49.99,193.0,179.0,neutral
229.0,24.99,80.0,126.0,girl
305.0,39.99,3.0,151.0,neutral
163.0,14.99,60.0,100.0,girl
355.0,29.99,92.0,148.0,boy
77.0,19.99,40.0,50.0,boy
876.0,49.99,184.0,180.0,neutral
177.0,19.99,64.0,79.0,boy
181.0,19.99,76.0,100.0,boy
57.0,49.99,28.0,37.0,girl
76.0,49.99,34.0,47.0,neutral
518.0,49.99,84.0,189.0,boy
471.0,39.99,96.0,170.0,boy
576.0,49.99,148.0,191.0,boy
317.0,49.99,156.0,161.0,neutral
540.0,49.99,156.0,240.0,boy
455.0,39.99,108.0,161.0,boy
386.0,39.99,116.0,143.0,neutral
694.0,69.99,128.0,209.0,neutral
396.0,39.99,184.0,187.0,neutral
151.0,24.99,76.0,94.0,boy
223.0,19.99,84.0,106.0,girl
374.0,34.99,200.0,142.0,neutral
19.0,19.99,8.0,16.0,girl
405.0,49.99,132.0,157.0,neutral
376.0,49.99,144.0,170.0,neutral
29.0,19.99,10.0,22.0,boy
280.0,39.99,2.0,177.0,boy
345.0,29.99,92.0,182.0,girl
24.0,19.99,13.0,19.0,boy
115.0,24.99,56.0,74.0,girl
689.0,59.99,136.0,272.0,boy
163.0,14.99,60.0,75.0,boy
28.0,29.99,24.0,25.0,girl
434.0,59.99,96.0,211.0,boy
482.0,59.99,100.0,187.0,boy
524.0,59.99,104.0,156.0,boy
496.0,59.99,120.0,208.0,neutral
602.0,59.99,180.0,273.0,girl
569.0,59.99,228.0,200.0,neutral
504.0,59.99,112.0,192.0,boy
624.0,59.99,140.0,201.0,girl
412.0,59.99,172.0,171.0,neutral
294.0,29.99,84.0,128.0,girl
447.0,59.99,112.0,200.0,boy
379.0,49.99,132.0,154.0,girl
223.0,19.99,84.0,112.0,boy
92.0,9.99,44.0,48.0,boy
22.0,29.99,14.0,18.0,boy
241.0,29.99,84.0,129.0,boy
418.0,39.99,84.0,132.0,boy
464.0,39.99,144.0,163.0,boy
149.0,24.99,64.0,99.0,neutral
183.0,14.99,68.0,105.0,girl
323.0,39.99,108.0,171.0,girl
238.0,49.99,108.0,146.0,girl
440.0,49.99,108.0,181.0,boy
215.0,34.99,112.0,142.0,girl
391.0,49.99,112.0,170.0,boy
376.0,29.99,128.0,189.0,boy
663.0,49.99,144.0,202.0,boy
444.0,49.99,160.0,216.0,girl
222.0,29.99,84.0,91.0,boy
579.0,29.99,57.0,218.0,neutral
362.0,59.99,200.0,198.0,neutral
329.0,29.99,84.0,110.0,boy
351.0,29.99,120.0,151.0,girl
492.0,49.99,124.0,184.0,girl
59.0,59.99,48.0,38.0,neutral
363.0,59.99,156.0,151.0,neutral
391.0,29.99,120.0,166.0,boy
358.0,29.99,148.0,166.0,neutral
578.0,69.99,76.0,177.0,boy
504.0,69.99,96.0,176.0,boy
753.0,69.99,148.0,253.0,neutral
496.0,69.99,92.0,151.0,boy
509.0,69.99,184.0,210.0,neutral
71.0,49.99,32.0,49.0,neutral
519.0,69.99,72.0,149.0,boy
235.0,24.99,60.0,122.0,girl
748.0,59.99,180.0,242.0,neutral
406.0,39.99,84.0,159.0,boy
1024.0,79.99,172.0,294.0,neutral
562.0,59.99,96.0,187.0,neutral
648.0,59.99,144.0,252.0,girl
223.0,59.99,124.0,137.0,boy
286.0,59.99,169.0,168.0,neutral
178.0,29.99,76.0,123.0,neutral
73.0,59.99,40.0,44.0,neutral
129.0,59.99,84.0,56.0,neutral
760.0,59.99,148.0,263.0,boy
1070.0,59.99,156.0,366.0,neutral
910.0,59.99,169.0,201.0,neutral
375.0,39.99,92.0,173.0,boy
581.0,49.99,224.0,212.0,neutral
69.0,14.99,44.0,47.0,neutral
715.0,69.99,192.0,274.0,girl
308.0,29.99,112.0,130.0,boy
492.0,69.99,104.0,166.0,boy
801.0,79.99,124.0,261.0,neutral
701.0,79.99,180.0,234.0,girl
521.0,79.99,192.0,231.0,girl
229.0,29.99,72.0,139.0,boy
297.0,39.99,116.0,140.0,neutral
550.0,49.99,124.0,199.0,neutral
597.0,59.99,216.0,246.0,neutral
358.0,29.99,100.0,119.0,boy
344.0,29.99,140.0,188.0,neutral
277.0,39.99,112.0,113.0,neutral
193.0,29.99,76.0,114.0,girl
278.0,29.99,84.0,95.0,neutral
730.0,89.99,192.0,287.0,boy
433.0,39.99,172.0,220.0,girl
397.0,39.99,112.0,177.0,boy
460.0,44.99,108.0,188.0,girl
310.0,29.99,128.0,161.0,neutral
797.0,69.99,184.0,255.0,neutral
778.0,69.99,236.0,286.0,girl
766.0,69.99,276.0,328.0,neutral
164.0,39.99,64.0,128.0,neutral
294.0,49.99,124.0,139.0,neutral
595.0,69.99,136.0,182.0,boy
564.0,69.99,180.0,128.0,neutral
470.0,39.99,112.0,146.0,neutral
150.0,49.99,76.0,98.0,neutral
810.0,79.99,160.0,267.0,boy
876.0,79.99,164.0,230.0,boy
1070.0,79.99,188.0,359.0,boy
376.0,39.99,80.0,140.0,boy
530.0,39.99,96.0,246.0,boy
370.0,39.99,80.0,157.0,boy
969.0,79.99,356.0,289.0,neutral
322.0,59.99,100.0,148.0,neutral
38.0,29.99,20.0,29.0,neutral
157.0,29.99,60.0,76.0,boy
379.0,34.99,184.0,160.0,neutral
84.0,14.99,40.0,48.0,neutral
951.0,84.99,160.0,262.0,boy
230.0,34.99,68.0,73.0,neutral
250.0,29.99,80.0,109.0,boy
470.0,79.99,104.0,127.0,boy
640.0,79.99,148.0,242.0,boy
834.0,79.99,164.0,206.0,neutral
497.0,79.99,165.0,180.0,neutral
648.0,79.99,176.0,251.0,girl
840.0,79.99,160.0,252.0,boy
699.0,99.99,168.0,292.0,boy
640.0,79.99,184.0,270.0,girl
908.0,89.99,216.0,376.0,girl
790.0,89.99,320.0,368.0,neutral
380.0,49.99,108.0,156.0,girl
303.0,59.99,136.0,168.0,neutral
422.0,39.99,196.0,169.0,neutral
59.0,29.99,25.0,31.0,neutral
529.0,89.99,260.0,270.0,neutral
378.0,32.99,112.0,166.0,girl
706.0,69.99,260.0,197.0,neutral
400.0,59.99,160.0,191.0,neutral
689.0,59.99,140.0,214.0,boy
859.0,69.99,164.0,211.0,neutral
309.0,39.99,116.0,159.0,boy
761.0,89.99,124.0,219.0,boy
716.0,89.99,176.0,254.0,boy
922.0,89.99,176.0,276.0,neutral
871.0,59.99,81.0,330.0,neutral
685.0,89.99,136.0,250.0,boy
743.0,89.99,140.0,275.0,boy
751.0,89.99,176.0,202.0,neutral
1771.0,99.99,224.0,235.0,boy
1218.0,99.99,248.0,361.0,boy
837.0,99.99,304.0,308.0,neutral
943.0,99.99,414.0,400.0,neutral
674.0,69.99,116.0,190.0,boy
997.0,99.99,212.0,275.0,neutral
493.0,39.99,108.0,182.0,boy
282.0,39.99,108.0,131.0,girl
522.0,49.99,96.0,183.0,boy
587.0,49.99,132.0,216.0,boy
121.0,99.99,48.0,75.0,neutral
37.0,29.99,24.0,26.0,neutral
1087.0,99.99,124.0,193.0,neutral
1038.0,99.99,168.0,333.0,boy
669.0,99.99,273.0,288.0,neutral
1001.0,99.99,316.0,394.0,girl
1264.0,99.99,428.0,359.0,neutral
502.0,69.99,100.0,188.0,neutral
537.0,99.99,112.0,216.0,boy
1271.0,99.99,132.0,212.0,neutral
971.0,99.99,172.0,310.0,neutral
878.0,99.99,184.0,284.0,neutral
1477.0,99.99,196.0,321.0,neutral
1187.0,119.99,208.0,299.0,neutral
1035.0,99.99,296.0,335.0,boy
743.0,99.99,345.0,298.0,neutral
897.0,99.99,389.0,411.0,neutral
698.0,79.99,136.0,268.0,boy
746.0,84.99,144.0,289.0,boy
829.0,99.99,148.0,206.0,boy
707.0,79.99,132.0,239.0,neutral
552.0,39.99,124.0,205.0,boy
609.0,69.99,156.0,174.0,boy
622.0,89.99,120.0,187.0,boy
1178.0,129.99,252.0,400.0,boy
1251.0,129.99,316.0,433.0,girl
271.0,29.99,80.0,138.0,boy
1244.0,119.99,220.0,355.0,boy
1007.0,119.99,164.0,293.0,boy
882.0,69.99,172.0,337.0,boy
416.0,39.99,124.0,168.0,boy
105.0,119.99,64.0,68.0,neutral
1005.0,129.99,184.0,271.0,boy
1060.0,129.99,188.0,285.0,boy
841.0,99.99,200.0,309.0,boy
1474.0,129.99,308.0,482.0,boy
677.0,159.99,230.0,165.0,neutral
1055.0,149.99,340.0,364.0,neutral
577.0,79.99,140.0,226.0,boy
322.0,39.99,84.0,171.0,girl
321.0,99.99,108.0,114.0,boy
457.0,39.99,100.0,136.0,neutral
488.0,54.99,116.0,222.0,girl
663.0,89.99,272.0,324.0,neutral
389.0,49.99,84.0,150.0,boy
745.0,149.99,229.0,314.0,neutral
643.0,79.99,124.0,239.0,boy
786.0,119.99,236.0,255.0,neutral
585.0,69.99,132.0,218.0,girl
1353.0,159.99,268.0,352.0,boy
556.0,49.99,128.0,220.0,boy
474.0,59.99,108.0,234.0,girl
644.0,89.99,108.0,168.0,neutral
730.0,79.99,120.0,224.0,boy
923.0,89.99,324.0,277.0,neutral
636.0,89.99,108.0,191.0,boy
2504.0,179.99,216.0,561.0,neutral
1227.0,229.99,362.0,410.0,neutral
722.0,69.99,164.0,309.0,girl
826.0,199.99,148.0,230.0,neutral
1363.0,119.99,184.0,268.0,boy
1660.0,129.99,244.0,424.0,boy
1004.0,99.99,220.0,312.0,boy
549.0,49.99,116.0,157.0,neutral
2287.0,199.99,300.0,533.0,neutral
2569.0,199.99,236.0,564.0,neutral
1768.0,199.99,260.0,387.0,boy
1673.0,199.99,272.0,355.0,boy
2545.0,199.99,460.0,575.0,neutral
519.0,69.99,76.0,129.0,boy
1019.0,129.99,176.0,257.0,boy
861.0,99.99,329.0,362.0,neutral
1179.0,109.99,156.0,308.0,boy
1239.0,139.99,188.0,277.0,boy
1826.0,149.99,276.0,377.0,neutral
1017.0,99.99,208.0,326.0,girl
883.0,99.99,244.0,284.0,neutral
1211.0,149.99,441.0,489.0,neutral
2480.0,169.99,200.0,508.0,neutral
1414.0,169.99,208.0,318.0,boy
765.0,69.99,144.0,297.0,boy
104.0,59.99,40.0,42.0,neutral
4124.0,379.99,440.0,556.0,neutral
6020.0,399.99,636.0,624.0,neutral
3553.0,229.99,380.0,690.0,boy
2812.0,349.99,388.0,676.0,boy
4784.0,699.99,444.0,445.0,boy
22.0,4.99,3.0,18.0,boy
58.0,3.99,3.0,33.0,neutral
48.0,3.99,3.0,36.0,neutral
43.0,3.99,3.0,34.0,neutral
36.0,3.99,3.0,24.0,neutral
45.0,4.99,3.0,29.0,neutral
25.0,3.99,3.0,23.0,girl
46.0,3.99,3.0,28.0,girl
32.0,3.99,3.0,23.0,neutral
51.0,4.99,3.0,30.0,girl
22.0,4.99,3.0,15.0,boy
59.0,12.99,3.0,33.0,boy
49.0,14.99,3.0,33.0,boy
45.0,12.99,3.0,35.0,neutral
42.0,12.99,3.0,33.0,neutral
51.0,12.99,3.0,35.0,neutral
60.0,14.99,3.0,34.0,boy
48.0,9.99,3.0,31.0,boy
48.0,9.99,3.0,30.0,boy
73.0,12.99,5.0,31.0,boy
44.0,9.99,5.0,35.0,girl
47.0,9.99,5.0,43.0,girl
41.0,9.99,5.0,38.0,girl
12.0,3.99,6.0,10.0,boy
53.0,14.99,9.0,33.0,neutral
10.0,9.99,12.0,10.0,neutral
120.0,39.99,13.0,70.0,neutral
20.0,19.99,16.0,19.0,neutral
33.0,29.99,20.0,25.0,boy
35.0,29.99,20.0,27.0,girl
56.0,59.99,32.0,41.0,neutral
67.0,9.99,36.0,50.0,girl
97.0,12.99,44.0,52.0,girl
186.0,9.99,49.0,95.0,neutral
123.0,129.99,56.0,72.0,neutral
141.0,29.99,56.0,71.0,neutral
125.0,29.99,56.0,76.0,neutral
200.0,19.99,64.0,100.0,boy
202.0,29.99,68.0,121.0,girl
209.0,39.99,68.0,146.0,neutral
321.0,19.99,68.0,109.0,boy
258.0,29.99,68.0,110.0,boy
374.0,19.99,72.0,116.0,neutral
289.0,39.99,72.0,124.0,boy
157.0,29.99,76.0,94.0,girl
324.0,39.99,76.0,145.0,girl
271.0,29.99,80.0,125.0,boy
413.0,29.99,80.0,132.0,boy
286.0,39.99,80.0,121.0,boy
307.0,29.99,80.0,126.0,boy
285.0,29.99,84.0,125.0,boy
255.0,29.99,84.0,120.0,boy
278.0,29.99,84.0,110.0,boy
170.0,39.99,92.0,116.0,girl
312.0,29.99,92.0,98.0,neutral
401.0,29.99,92.0,164.0,boy
259.0,34.99,96.0,134.0,boy
165.0,29.99,100.0,96.0,boy
325.0,29.99,108.0,174.0,girl
140.0,39.99,108.0,84.0,neutral
500.0,39.99,112.0,205.0,neutral
430.0,49.99,124.0,160.0,boy
395.0,39.99,132.0,170.0,girl
360.0,39.99,132.0,195.0,boy
1166.0,99.99,136.0,323.0,neutral
968.0,69.99,136.0,260.0,boy
775.0,99.99,140.0,241.0,boy
630.0,39.99,148.0,166.0,neutral
260.0,29.99,152.0,119.0,neutral
390.0,59.99,168.0,199.0,boy
616.0,49.99,172.0,202.0,boy
1047.0,99.99,180.0,383.0,neutral
301.0,39.99,188.0,162.0,neutral
305.0,29.99,196.0,141.0,neutral
585.0,89.99,200.0,264.0,boy
1016.0,79.99,200.0,303.0,boy
512.0,59.99,208.0,270.0,girl
455.0,69.99,212.0,299.0,boy
321.0,39.99,220.0,121.0,girl
1967.0,199.99,220.0,359.0,boy
1111.0,119.99,244.0,350.0,boy
1171.0,99.99,256.0,425.0,boy
975.0,149.99,272.0,435.0,boy
3231.0,249.99,312.0,467.0,neutral
1781.0,129.99,316.0,479.0,boy
806.0,89.99,328.0,348.0,neutral
2925.0,329.99,397.0,509.0,boy
3306.0,249.99,404.0,484.0,boy
3036.0,199.99,428.0,482.0,neutral
3178.0,299.99,452.0,692.0,neutral
3120.0,249.99,464.0,525.0,boy
1105.0,169.99,556.0,622.0,boy
